episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
0,3999,-136.804,0,0,0,1.6961,1947,18288.2,0.003167
1,3999,-301.264,0,0,0,1.2993,2302,22099.5,0.002299
2,1547,1027.131,1,0,0,1.2121,800,1474.4,0.022612
3,3999,-133.482,0,0,0,1.839,1170,7686.7,0.00697
4,3999,-199.239,0,0,0,1.9047,716,12471.4,0.006283
5,1857,1009.48,1,0,0,1.111,789,1004.7,0.019815
6,2231,-518.869,0,1,0,0.9998,1601,6776.6,0.011107
7,325,-501.025,0,1,0,0.9966,325,26275.4,0.021529
8,1435,1009.74,1,0,0,1.0347,1196,1460.1,0.020803
9,3999,-204.614,0,0,0,1.3501,1172,14829.3,0.004891
10,2521,-570.393,0,0,1,1.3631,961,11596.5,0.010609
11,2713,995.656,1,0,0,1.0458,911,1495.1,0.013028
12,678,-485.516,0,1,0,0.9974,535,21206.7,0.024602
13,2518,987.146,1,0,0,1.086,1000,1498.3,0.013148
14,464,-482.94,0,1,0,0.9931,379,24056.3,0.027251
15,2898,1012.973,1,0,0,1.0544,1192,688.2,0.01231
16,423,-506.054,0,1,0,0.9984,423,21582.0,0.020657
17,3999,-63.01,0,0,0,1.428,1047,535.2,0.009506
18,3999,-84.685,0,0,0,1.305,1625,5070.2,0.006972
19,1996,-544.673,0,0,1,1.2595,1009,7147.9,0.014785
20,3999,-184.275,0,0,0,1.2201,1215,10392.8,0.004963
21,3999,-136.416,0,0,0,1.0331,1848,7520.0,0.006028
22,3999,-159.447,0,0,0,1.2211,1302,6880.2,0.006901
23,3999,-122.197,0,0,0,1.0117,1441,8974.9,0.006166
24,646,-479.14,0,1,0,0.9984,425,21444.3,0.027338
25,3999,-101.607,0,0,0,1.2829,1802,8122.0,0.007423
26,297,-503.355,0,1,0,0.9996,297,24874.2,0.020547
27,3999,-204.735,0,0,0,1.1003,1670,16575.1,0.004126
28,3999,-52.426,0,0,0,1.1672,1525,423.5,0.009297
29,3999,-83.453,0,0,0,1.3329,1152,4088.6,0.007944
30,299,-505.308,0,1,0,0.9971,299,24192.0,0.020856
31,1702,-528.627,0,1,0,0.9927,1450,8081.5,0.013493
32,337,-501.942,0,1,0,0.9996,337,28623.1,0.021375
33,3999,-87.96,0,0,0,1.34,826,3077.0,0.009134
34,2021,-542.161,0,1,0,0.9923,1010,8262.6,0.013171
35,3999,-158.556,0,0,0,1.2453,1218,10167.2,0.006147
36,586,-486.767,0,1,0,0.9986,520,19695.2,0.0251
37,3999,-102.184,0,0,0,1.2321,1512,4231.2,0.006798
38,3999,-193.676,0,0,0,1.4135,2642,24618.6,0.002052
39,320,-508.545,0,1,0,0.9994,320,24691.3,0.019997
40,583,-486.125,0,1,0,0.9988,512,21109.3,0.024794
41,2314,-534.184,0,1,0,0.9951,1184,9033.8,0.010437
42,395,-510.29,0,1,0,0.9978,395,24530.4,0.020363
43,1779,-497.029,0,1,0,0.9952,1027,7198.9,0.015271
44,2383,1036.561,1,0,0,1.5149,1064,1233.7,0.015818
45,360,-497.874,0,1,0,0.9989,360,29409.3,0.023135
46,3999,-118.663,0,0,0,1.441,1323,1900.5,0.008898
47,393,-508.867,0,1,0,0.998,393,23041.5,0.020863
48,1555,1031.745,1,0,0,1.0885,1021,1464.2,0.022216
49,3999,-146.999,0,0,0,1.3601,2658,15977.8,0.005455
