episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FT_Return,3036.8,23.76,False,False,False,-184.98517943296446,3999,1.7594290690061152,3999,0.007339191114234623,1605.9534952111787
1,FT_Return,2182.6,2.48,False,False,False,-200.67736139897343,3999,1.4432741134336888,3999,0.00750067461816291,1298.580090552945
2,FT_Return,3916.8,-6.01,False,False,False,-132.69951847241313,3999,1.8748327457480147,3999,0.004710610073125497,17617.5065392848
3,FT_Return,3385.1,-26.33,False,False,False,-142.13903569005893,3999,1.980455092626253,3573,0.008830136502802682,248.48544437519564
4,FT_Return,2783.4,21.66,False,False,False,-204.38821951669095,3999,4.026924073715337,0,-0.0016173245162662137,44067.1713607986
5,FT_Return,3316.2,10.94,False,False,True,-592.9853971541459,1738,1.2561884723171237,1738,0.0021185271847980955,34119.767261953835
6,FT_Return,2766.2,13.35,False,False,False,-181.52017696113438,3999,1.5665142849024858,3999,0.007652934508974337,952.4273288342641
7,FT_Return,3254.5,4.97,False,False,True,-532.6079528751976,793,1.6807492689891415,793,0.0024744237972371976,31310.25957015393
8,FT_Return,3881.9,5.89,True,False,False,954.8574694104645,3653,1.625986147690306,3653,0.00848543073528678,314.8172082053745
9,FT_Return,3535.5,-9.88,False,False,False,-180.31413686706264,3999,1.4942488248451276,3999,0.003965286865036625,18529.11543104732
10,FT_Return,2465.2,-9.75,False,False,True,-515.8289746942613,992,2.1813386634254925,992,0.002928272985840515,35435.410056175344
11,FT_Return,2030.9,10.51,False,False,True,-579.9419616787206,1820,2.0810337922945106,1820,0.0010819235838344947,34872.94065395957
12,FT_Return,3948.5,-25.13,False,False,False,-132.73155786967746,3999,1.645408389131477,3684,0.0044747171357022355,19990.955730288195
13,FT_Return,3980.1,-23.17,False,False,True,-588.122366981363,1591,1.7372024017569072,1591,-0.00013973590245987662,34825.334556643524
14,FT_Return,2492.2,18.19,False,False,True,-498.29659768771836,1011,2.357048217933162,916,0.005136042535477766,31509.294066578073
15,FT_Return,3204.7,18.13,False,False,True,-576.7028103500918,1827,1.5490758600618317,1827,0.0011992862905633962,34173.69864441304
16,FT_Return,3789.7,2.25,True,False,False,933.1988217129172,3797,1.952972070322745,3655,0.007883515649883335,386.3635113817834
17,FT_Return,2471.9,-7.06,False,False,False,-196.4039794831748,3999,1.3904160989995578,3572,0.009523082174746927,468.3554761234593
18,FT_Return,2110.2,22.37,False,False,False,-196.5846653817858,3999,1.912938471404842,3999,0.006310844782275916,7713.879478495327
