episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FineTune,2015.0,8.91,True,False,False,831.4847715227056,3193,1.039522328900669,3193,0.009230067392481636,1483.4775672663452
1,FineTune,2317.8,0.52,False,True,False,-578.6837621402326,1885,0.9995625298864469,1885,0.01017362068396821,12116.399330216494
2,FineTune,3271.2,-0.34,False,False,True,-587.3721507145934,3722,1.2534473819391851,3722,0.009565717145575635,852.0367939588352
3,FineTune,2694.6,20.86,True,False,False,965.9830229272934,2513,1.6469047266660688,2513,0.013556895426742068,1494.0850453743083
4,FineTune,3616.1,-9.16,True,False,False,995.3960962917148,3046,1.6948532609273839,2724,0.012056396466235365,873.550475721797
5,FineTune,3071.6,-2.46,False,False,True,-540.616449748464,2154,1.4133091966578362,2009,0.015148196159880516,5171.513300699865
6,FineTune,2522.6,8.0,False,False,True,-623.8386025177203,3068,1.2040699877359613,3068,0.00944877551744007,2567.4400549024094
7,FineTune,3074.3,-13.96,False,False,True,-583.3138665429209,2464,1.4403877634328202,2464,0.012734401024493873,1893.8422488781912
8,FineTune,2474.1,-27.94,False,False,True,-644.0977185654339,3223,1.07714028270007,3223,0.00938322416141842,1068.5003002157193
9,FineTune,3700.7,-2.91,False,False,True,-560.681225640974,3423,1.3713923728940745,3423,0.009738776574473577,1050.918914915636
10,FineTune,3119.8,-12.61,False,False,False,-242.97841436680181,3999,1.4751998620668205,2084,0.008217843948241012,5476.879591930986
11,FineTune,2008.9,22.35,False,False,False,-184.76204275061434,3999,1.298247932411774,1490,0.008515608294979073,2788.907300724966
12,FineTune,3337.7,-7.88,True,False,False,1000.968454736822,2790,1.5911130794152826,2546,0.013042323866650093,1498.3759750998897
13,FineTune,2204.7,20.24,True,False,False,898.9508573330937,2679,1.311164376960288,2651,0.012364749127493335,1480.2438978347095
14,FineTune,3037.3,14.87,True,False,False,989.7590621093105,2457,1.5769947872230339,2325,0.014329811862915478,1493.3139934415797
15,FineTune,3615.9,15.67,False,False,True,-556.2810902657557,3272,1.469089411854641,3224,0.01065456010705946,1502.9609372624457
16,FineTune,3657.8,-13.55,True,False,False,960.5854052427724,1931,1.631199928117807,1931,0.014932902937752441,1483.8857149388157
17,FineTune,3484.8,22.07,False,False,False,-198.472980275993,3999,1.3817170463418202,3411,0.008587948413356035,4210.156981238914
18,FineTune,2332.5,20.85,True,False,False,846.2887014547891,3445,1.1357900982067082,3445,0.009130573793769086,1496.08675983596
19,FineTune,3030.0,-3.23,False,False,True,-521.9202241439648,2655,1.5376210645080077,2592,0.013190016152438472,1639.9005539833806
20,FineTune,3311.7,-28.37,True,False,False,962.8388390824706,1819,1.643418728298093,1819,0.015810953485246998,1477.750826248092
21,FineTune,2210.4,23.52,False,True,False,-601.7488720424498,2217,0.9999576981569801,2217,0.007731848548530601,14485.062272744575
22,FineTune,2388.8,4.98,True,False,False,968.7948210637137,2134,1.5559662583306646,2134,0.01573402613140901,900.2992089103357
23,FineTune,3640.5,-7.64,False,False,False,-194.49699292175148,3999,1.179357591610412,3827,0.008062945843062037,1387.9509646801848
