model,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,episode,init_alt_m,init_hdg_noise_deg
Heuristic,0,1,0,-505.86,2164,0.995,1365,0.01186,0,2044.6,-23.55
Heuristic,0,0,1,-542.48,2080,1.361,851,0.012,1,3295.7,27.64
Heuristic,1,0,0,1012.38,1767,1.358,898,0.02008,2,3540.6,24.5
Heuristic,0,0,0,-116.93,3999,1.441,1341,0.00718,3,2455.9,-14.77
Heuristic,0,0,0,-116.38,3999,1.665,1158,0.00812,4,2698.9,-2.59
Heuristic,1,0,0,1021.43,1752,1.126,788,0.02073,5,3107.1,18.46
Heuristic,1,0,0,1013.46,1503,1.319,1349,0.02001,6,2446.6,7.5
Heuristic,0,0,0,-274.28,3999,1.018,2150,0.00388,7,3483.3,-13.57
Heuristic,0,0,1,-614.48,2656,1.209,961,0.00502,8,3672.6,-25.63
Heuristic,0,0,0,-133.99,3999,1.126,1408,0.00659,9,2384.8,6.42
Heuristic,0,0,0,-104.55,3999,1.492,1740,0.00957,10,3532.4,19.33
Heuristic,0,1,0,-506.56,372,0.997,372,0.02051,11,2100.6,20.88
Heuristic,0,1,0,-663.02,3129,0.999,1331,0.00848,12,3882.4,19.58
Heuristic,0,0,1,-599.65,2083,1.192,771,0.00783,13,3405.0,24.86
Heuristic,0,1,0,-481.97,534,0.999,420,0.02655,14,3714.9,1.88
Heuristic,0,0,0,-81.29,3999,1.22,941,0.00763,15,3488.5,-24.19
Heuristic,0,0,0,-311.68,3999,1.073,1614,0.00386,16,3684.7,1.37
Heuristic,0,0,0,-137.59,3999,1.305,809,0.00796,17,2659.9,-19.83
Heuristic,1,0,0,1031.03,1460,1.682,1249,0.02154,18,3965.9,-20.75
Heuristic,0,0,0,-163.81,3999,1.474,1197,0.00518,19,3869.4,8.28
Heuristic,0,0,0,-89.43,3999,1.083,2112,0.00714,20,2417.5,-26.74
Heuristic,0,0,0,-228.25,3999,1.397,948,0.00586,21,3526.1,-12.72
Heuristic,0,0,0,-132.25,3999,1.209,1226,0.00654,22,2998.6,14.16
Heuristic,0,0,0,-303.36,3999,1.003,2616,0.00487,23,2397.2,-18.44
Heuristic,0,1,0,-479.22,647,0.999,426,0.02733,24,3037.1,-15.44
Heuristic,1,0,0,1032.81,1633,1.517,883,0.02256,25,3727.8,-9.17
Heuristic,0,1,0,-503.39,310,1.0,310,0.02064,26,3202.2,6.09
Heuristic,0,0,0,-105.29,3999,1.464,2355,0.00532,27,3294.7,-22.26
Heuristic,1,0,0,1030.49,1723,1.023,984,0.02096,28,2212.0,25.45
Heuristic,0,0,0,-116.71,3999,1.375,1117,0.00781,29,3168.2,2.02
Heuristic,0,1,0,-504.97,346,0.998,346,0.02127,30,3571.3,6.02
Heuristic,0,1,0,-535.81,2552,0.998,1710,0.00828,31,2847.7,-23.93
Heuristic,0,0,0,-171.53,3999,1.038,795,0.00665,32,3214.4,-27.92
Heuristic,1,0,0,1009.64,2721,1.2,970,0.01401,33,2410.6,23.35
Heuristic,0,0,0,-142.33,3999,1.543,1705,0.00839,34,3155.5,-9.76
Heuristic,0,0,1,-543.27,2102,1.084,1022,0.01329,35,3481.2,3.06
Heuristic,0,0,0,-163.57,3999,1.03,2644,0.00279,36,3841.9,-9.2
Heuristic,0,0,0,-150.94,3999,1.181,1252,0.00478,37,2421.5,-1.0
Heuristic,0,0,0,-165.07,3999,1.405,2284,0.00301,38,3024.8,26.65
Heuristic,0,1,0,-506.2,226,0.999,226,0.01906,39,2255.1,26.72
Heuristic,0,1,0,-488.21,542,0.997,500,0.02503,40,2375.0,29.38
Heuristic,0,1,0,-523.08,2422,0.997,1360,0.01048,41,2408.6,26.73
Heuristic,0,1,0,-510.34,436,0.999,436,0.02059,42,3403.9,3.04
Heuristic,0,0,0,-134.68,3999,1.006,1254,0.00692,43,3323.4,-0.07
Heuristic,1,0,0,1051.9,3012,1.441,995,0.01243,44,2851.2,-20.32
Heuristic,1,0,0,1005.31,1950,1.003,1010,0.0186,45,3073.6,-18.27
Heuristic,1,0,0,1024.6,2032,1.703,978,0.01776,46,3985.4,-23.58
Heuristic,0,1,0,-508.57,370,0.998,370,0.02079,47,2861.1,18.52
Heuristic,0,0,0,-128.18,3999,1.171,2150,0.0075,48,3343.3,-18.16
Heuristic,0,0,0,-86.56,3999,1.286,777,0.00909,49,2767.0,0.3
