episode,model,init_alt_m,init_hdg_noise_deg,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,Scratch,2044.6,-23.55,False,True,False,-524.2786770998171,1187,0.9990425231632097,1187,0.006240821246183192,23545.682833128925
1,Scratch,3295.7,27.64,False,True,False,-528.8902516706513,1697,0.9996663189254061,1697,0.0058069482462407415,21440.406116548056
2,Scratch,3540.6,24.5,False,True,False,-522.3443959779927,1181,0.9992347920539584,1181,0.006202096224852457,29132.07064662468
3,Scratch,2455.9,-14.77,False,False,True,-529.5251704889672,2011,1.7141939608068832,2011,0.003331035315487129,28861.6927527259
4,Scratch,2698.9,-2.59,False,False,True,-569.2686571053699,1786,4.457455256796853,0,-0.0013271793117207182,39968.1420141794
5,Scratch,3107.1,18.46,False,True,False,-519.0479100596358,952,0.999232043154462,952,0.00658372371620097,31534.594719265548
6,Scratch,2446.6,7.5,False,False,True,-520.093849606858,1733,2.4655979637220296,1733,0.0023466293141463554,27489.55048667427
7,Scratch,3483.3,-13.57,False,True,False,-529.6530645601123,985,0.9999350385101817,985,0.006021488926948104,27340.261603988452
8,Scratch,3672.6,-25.63,False,True,False,-519.9561325944451,1220,0.9992279821518374,1220,0.006281538658594331,23647.21146988282
9,Scratch,2384.8,6.42,False,True,False,-524.6292167356801,1051,0.9995754336676657,1051,0.0060451086984620265,28033.877756978236
10,Scratch,3532.4,19.33,False,True,False,-514.5413701276121,1304,0.9996374016274912,1304,0.006391574064637949,30007.540338771792
11,Scratch,2100.6,20.88,False,True,False,-519.6279073856388,775,0.9990051975256949,775,0.006575474177091141,31746.749083365256
12,Scratch,3882.4,19.58,False,False,True,-611.4816321482565,2355,4.302104550584467,0,-0.0012729016657006735,40885.97487304405
13,Scratch,3405.0,24.86,False,True,False,-525.6450926140905,940,0.9995343125655799,940,0.006256043578502184,28724.873565121587
14,Scratch,3714.9,1.88,False,False,True,-605.1338201467668,2312,4.008460250852811,0,-0.001420538937597281,39985.07832333281
15,Scratch,3488.5,-24.19,False,True,False,-517.2314289844225,1183,0.9994641668395277,1183,0.0064142043671629855,28774.17882306984
16,Scratch,3684.7,1.37,False,True,False,-530.9165241628956,1040,0.9992607770303754,1040,0.005930801976099548,24151.992818125953
17,Scratch,2659.9,-19.83,False,True,False,-511.95805860319456,1234,0.9998981829306991,1234,0.0064089425764992936,30641.830442468447
18,Scratch,3965.9,-20.75,False,True,False,-512.9223862848087,1665,0.9997524518873113,1665,0.006428909769645608,22244.70302758296
19,Scratch,3869.4,8.28,False,True,False,-522.0215636298922,1141,0.9989391365074269,1141,0.006314743351510803,29455.120267979517
20,Scratch,2417.5,-26.74,False,True,False,-529.6132699457572,927,0.9993671880053923,927,0.005914022398541494,24755.565685433936
