episode,model,popup_triggered,step_at_popup,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FT_Return,1,665,False,False,False,-180.43859348137028,3999,1.504358256284847,3335,0.007486618138809952,1015.7421574459845
1,FT_Return,0,-1,False,False,True,-515.5043333353588,1169,2.9555551566546834,0,0.0005493627550797447,30651.44962219559
2,FT_Return,0,-1,False,False,False,-194.74028612195735,3999,2.4324760330074833,0,-0.0011224419468227778,40944.302576479844
3,FT_Return,0,-1,False,False,False,-195.4022581182017,3999,3.0793208590132317,0,-0.0013658298738556517,41023.13235777325
4,FT_Return,0,-1,False,False,False,-183.9785630276759,3999,3.6839622022084035,0,-0.0007472372941250776,40586.20474581707
5,FT_Return,0,-1,False,False,True,-499.0521131182747,703,1.964213184500173,0,0.003279566821026392,35495.37701671612
6,FT_Return,0,-1,False,False,True,-505.3155678446655,1135,2.8773216298988915,0,0.0018070026315629723,29504.93700306226
7,FT_Return,0,-1,False,False,True,-558.1334659304823,1221,2.123194453576252,0,-0.0036907245446968343,37778.54813546507
8,FT_Return,0,-1,False,False,True,-544.0143689141446,1939,2.578060686203239,0,-0.0009410476997071235,33136.46458647234
9,FT_Return,0,-1,False,False,False,-109.88346952066775,3999,2.3185779054777003,0,0.0015075607696529185,28358.19116233803
10,FT_Return,0,-1,False,False,False,-199.32966529736896,3999,2.7610244830008988,0,-0.0011684811751573093,43013.79959815585
11,FT_Return,0,-1,False,False,False,-187.96033820959246,3999,2.1693584639887487,0,-0.0009864800713419333,40786.21033176664
12,FT_Return,0,-1,False,False,True,-492.5072776176016,539,3.3206216684979664,0,0.005630950012797728,34851.99431082614
13,FT_Return,1,804,False,False,False,-171.64708653140605,3999,1.7336704355609143,2373,0.008199158764095564,1815.8889191186793
14,FT_Return,0,-1,False,False,True,-496.20479405221494,413,3.409485801064485,0,0.0044702787397725265,34854.42084884043
15,FT_Return,0,-1,False,False,False,-200.05550101258285,3999,2.6001873459493323,0,-0.0013673865885138418,41831.84573850487
16,FT_Return,0,-1,False,False,True,-540.6186660128602,1015,2.1247439346564,0,-0.0032227253429003297,33591.017158453986
17,FT_Return,0,-1,False,False,False,-187.17243104218073,3999,2.8325110138451888,0,-0.0008921738998000596,42119.50772579078
18,FT_Return,0,-1,False,False,False,-187.32556033494953,3999,2.856391172256512,0,-0.0007241137824214708,35845.70102687064
19,FT_Return,0,-1,False,False,False,-192.9037644088195,3999,2.425845864862706,0,-0.001067421699812511,40928.24990092969
20,FT_Return,0,-1,False,False,True,-502.9267890270263,717,1.9915713576343326,0,0.001888069544841497,28884.855883211476
21,FT_Return,0,-1,False,False,False,-200.658694504989,3999,2.645992658635802,0,-0.0013027081377559456,36835.06988564919
22,FT_Return,0,-1,False,False,True,-511.26224118440325,1114,2.9731216941599756,0,0.0008303607965132794,33551.371645253406
23,FT_Return,0,-1,False,False,True,-500.28564061695334,774,3.418009003869721,0,0.002197792619972241,31930.983861644454
24,FT_Return,0,-1,False,False,True,-490.15295678364737,549,4.033626332608123,0,0.005986090470648619,35818.27933384441
25,FT_Return,0,-1,False,False,False,-183.9959911248363,3999,2.6623394586797766,0,-0.0008122175669624212,41053.43019889325
26,FT_Return,1,184,False,False,False,-175.92940765364992,3999,1.823773554676153,3816,0.0036815639949936557,16254.18795333555
27,FT_Return,0,-1,False,False,True,-527.8480351698306,1390,3.080665857981221,0,-0.0011469589065573153,34667.854502272035
28,FT_Return,0,-1,False,False,True,-496.6556872185775,632,3.1025049400384663,0,0.003393847132266492,35457.994978307834
29,FT_Return,0,-1,False,False,False,-143.45322070360027,3999,2.6730074560751182,0,0.000767688727664673,32787.239209163985
30,FT_Return,1,104,False,False,False,-210.63969553566994,3999,1.3338778579768538,3566,0.007258123012162144,1402.817343904198
31,FT_Return,0,-1,False,False,True,-519.1447164974901,1424,2.7986708161538782,0,0.00031378552892808695,30599.68024536357
32,FT_Return,0,-1,False,False,False,-197.50797697205155,3999,2.108420872753615,0,-0.001132210422907345,40354.11831313348
33,FT_Return,1,689,False,True,False,-509.66358249890726,1615,0.9994456564854004,927,0.007547931045162933,27414.5074559198
34,FT_Return,0,-1,False,False,False,-198.30708686289762,3999,2.9292991455795496,0,-0.0014190355559888493,40556.57746655607
35,FT_Return,0,-1,False,False,False,-200.49815094584818,3999,2.843153748654983,0,-0.0014033666058426999,40361.86903241574
36,FT_Return,0,-1,False,False,False,-195.43963947917553,3999,3.483544581605968,0,-0.001433302234513913,40135.35907451675
37,FT_Return,0,-1,False,False,True,-539.6323243023771,2003,2.6030942106973867,0,-0.0005853710126683859,32587.711650553825
38,FT_Return,0,-1,False,False,True,-526.8675670119416,1145,2.7832988285724083,0,-0.0009924629294730323,33962.64190372975
39,FT_Return,1,66,False,False,True,-624.3324211634035,1669,1.5229551879557643,1604,-0.0017989160798026458,34092.76256419876
40,FT_Return,0,-1,False,False,True,-516.1857307906529,2221,3.3715596011257802,0,0.0011160100856613677,33085.49732037075
41,FT_Return,1,680,False,False,False,-170.87001735164048,3999,1.3381312679133153,3210,0.008052951504922268,982.3044085920102
42,FT_Return,1,149,False,False,True,-575.8121432656162,1208,1.673718959087684,1060,-0.0014801683815375934,34361.85275124521
43,FT_Return,0,-1,False,False,True,-493.3558325325177,607,2.425619328072021,0,0.0061780094596808775,30616.589153461173
