episode,model,popup_triggered,step_at_popup,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,Scratch,1,884,False,True,False,-503.9459127413259,1345,0.9993357856990829,462,0.005622935416405781,23391.879959481204
1,Scratch,1,1160,False,True,False,-495.1149188442381,1545,0.9999590731189935,386,0.005444796660527218,22881.44384236908
2,Scratch,1,1123,False,True,False,-503.1427719794291,1461,0.999780824083453,339,0.004555907612995097,29799.476208549728
3,Scratch,0,-1,False,False,True,-586.6290222238463,2145,3.4340090648719577,0,-0.0011833483038471487,38099.460803976515
4,Scratch,0,-1,False,False,True,-578.6003070053627,1854,4.482291304985175,0,-0.0014307930022777104,40250.6930328336
5,Scratch,0,-1,False,False,True,-531.1178133117699,1910,1.7906492141494508,0,0.0008557963774383906,36166.34141099022
6,Scratch,0,-1,False,False,True,-567.1124401810932,2161,3.3058635159178262,0,-0.00020898173414493135,32007.494517373434
7,Scratch,1,364,False,True,False,-505.36189123892365,828,0.999314565692891,465,0.006584012114284765,27820.611435762454
8,Scratch,1,807,False,True,False,-492.6935360393103,1224,0.9997001741094035,418,0.005999015093982206,23968.978621706017
9,Scratch,1,742,False,True,False,-502.1786830958052,1150,0.9990210554348881,409,0.005511256192479319,28048.982058828875
10,Scratch,1,1275,False,True,False,-494.7194581929204,1597,0.9992572057308821,323,0.005026608505835309,30313.549594882646
11,Scratch,1,387,False,True,False,-501.17656605457404,826,0.999609445071717,440,0.006836409663358414,31194.402144536063
12,Scratch,0,-1,False,False,True,-581.1235971661674,2046,4.158210078096264,0,-0.0011301961252236478,40199.45763993158
13,Scratch,1,362,False,True,False,-502.8983541405158,804,0.999079023108674,443,0.006877225937826567,29075.035162724238
14,Scratch,0,-1,False,False,True,-531.6552266738933,1046,3.902643659909711,0,-0.0007773020298523325,37513.7038915919
15,Scratch,1,1159,False,True,False,-501.79347388924253,1498,0.9991754337334892,340,0.004746974040610835,29252.699658202964
16,Scratch,1,371,False,True,False,-503.99231699627285,817,0.9989275861354049,447,0.006709133721083169,24838.58868528511
17,Scratch,1,1283,False,True,False,-491.670686371996,1598,0.9995720447330423,316,0.005046638383598107,30487.17616350057
18,Scratch,1,1161,False,True,False,-494.9414171063199,1536,0.9984368796244697,376,0.005504184996817817,24495.54185585495
19,Scratch,0,-1,False,False,True,-538.064367691663,1750,1.9832213735753161,0,0.0006187147211061401,35576.87976144363
20,Scratch,1,422,False,True,False,-509.21221903423117,932,0.9998089393097753,511,0.0060876278963744816,24564.93254744168
21,Scratch,1,927,False,True,False,-496.1149747468755,1337,0.9993277507022769,411,0.005546629016497383,24209.697047706162
22,Scratch,0,-1,False,False,True,-579.6071401339619,2171,3.1744440397595577,0,-0.001143172069108848,36958.220134604424
23,Scratch,0,-1,False,False,True,-578.975040361901,2098,3.823562045750034,0,-0.001444999771455159,36663.684870015895
24,Scratch,0,-1,False,False,True,-573.0541022429605,1895,5.01573183528017,0,-0.0016509882854209303,42233.26580310317
25,Scratch,1,1212,False,True,False,-497.2159560005241,1539,0.9996336429028727,328,0.004931980681065492,30215.05388045072
26,Scratch,1,219,False,True,False,-511.76720787546725,710,0.9999438206876439,492,0.006538653892812246,26334.31810541834
27,Scratch,1,1277,False,True,False,-489.6882565007015,1663,0.9998432595010276,387,0.0054011070691518,24091.540566157786
28,Scratch,0,-1,False,False,True,-527.8839714052689,991,3.6646798348369964,0,-0.0005899685488313118,38187.565197792086
29,Scratch,1,1251,False,True,False,-494.9299532440074,1587,0.9997801847717865,337,0.004875417711297269,28119.93852326625
30,Scratch,1,121,False,True,False,-515.8488733375459,642,0.999656708029075,522,0.006475218039695826,26270.961288055758
31,Scratch,1,1117,False,True,False,-494.1607603073595,1524,0.9992799108744821,408,0.005462926418808687,22721.01097629255
32,Scratch,1,350,False,True,False,-504.31941981045486,804,0.9993657426374593,455,0.006734479142355555,30411.88760147313
33,Scratch,1,1026,False,True,False,-501.0155380808448,1351,0.9987386499388538,326,0.005059981176289422,32768.3815246908
34,Scratch,0,-1,False,False,True,-584.791102827357,2221,3.0949064118602925,0,-0.000703255754499132,36443.78530889928
