episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,FineTune,Base (100%),10.0,5.0,True,False,False,900.758464729046,3022,1.7111377771832077,3022,0.009750608373740078,1488.3895891044829
1,FineTune,Base (100%),10.0,5.0,True,False,False,905.2343287987021,2847,1.2624078561924723,2847,0.01046616444982128,1496.4844942426346
2,FineTune,Base (100%),10.0,5.0,True,False,False,890.2983506162319,3920,1.2136110567169807,3920,0.008921696610664838,1482.6065173295203
3,FineTune,Base (100%),10.0,5.0,True,False,False,916.1106626445165,3627,1.243745185461161,3627,0.009392444534916142,1494.7823640836648
4,FineTune,Base (100%),10.0,5.0,False,False,True,-519.6422672847046,2941,1.7679059584708783,2664,0.011477372501434107,3843.050279893254
5,FineTune,Base (100%),10.0,5.0,False,False,True,-537.6143863620886,2112,1.4232455083183786,1992,0.01476748719235748,6611.979541638634
6,FineTune,Base (100%),10.0,5.0,False,False,True,-596.6665452593863,3084,1.2653874102073435,3084,0.009502904022045329,2248.928985898574
7,FineTune,Base (100%),10.0,5.0,True,False,False,913.2454099952575,2525,1.4233562451251243,2525,0.012588721987818172,1485.6504471494598
8,FineTune,Base (100%),10.0,5.0,True,False,False,899.2854009823137,2969,1.2103265544555744,2969,0.010044834665854761,1488.6589738176365
9,FineTune,Base (100%),10.0,5.0,True,False,False,966.6116143659405,2319,1.5921989592583627,2319,0.014183389651781526,1495.6460776988533
10,FineTune,Base (100%),10.0,5.0,False,False,True,-538.08381344383,2522,1.3692297413321617,2403,0.01386727723486319,3367.7701923767104
11,FineTune,Base (100%),10.0,5.0,False,False,False,-214.68617463960805,3999,1.3171470835493453,2064,0.006201832343676669,12040.148984107256
12,FineTune,Base (100%),10.0,5.0,True,False,False,997.6197927780688,2796,1.58689017047211,2579,0.013020567884085604,1481.5685638208097
13,FineTune,Base (100%),10.0,5.0,False,False,False,-281.8601316161787,3999,1.3904898500760527,1772,0.005505484895960995,12587.89071778893
14,FineTune,Base (100%),10.0,5.0,True,False,False,913.2517067214607,3765,1.2990963784563188,3639,0.009351647973259044,1491.6913490461716
15,FineTune,Base (100%),10.0,5.0,True,False,False,964.1565249292707,2334,1.6203920932474167,2334,0.014941021459549708,1491.3226844491433
16,FineTune,Base (100%),10.0,5.0,True,False,False,881.343219894727,2880,1.6259677501914094,2880,0.010009929720102268,1491.3533415156376
17,FineTune,Base (100%),10.0,5.0,False,False,True,-544.5244700314458,2720,1.4438350928934418,2640,0.013914908077040414,703.1543309404585
18,FineTune,Base (100%),10.0,5.0,False,False,True,-596.3810995381975,2942,1.5294351298498634,2942,0.00961840268450143,4652.629313164007
19,FineTune,Base (100%),10.0,5.0,True,False,False,991.3538780386774,2724,1.727727061962997,2590,0.012996126224065617,1258.1826890247937
20,FineTune,Base (100%),10.0,5.0,True,False,False,943.4852471386226,2214,1.6436991313944138,2214,0.012985535155604478,1488.6269123544796
21,FineTune,Base (100%),10.0,5.0,False,False,True,-545.8191376222643,2103,1.6263930374152937,2103,0.013717324202386843,2778.0072451437063
22,FineTune,Base (100%),10.0,5.0,False,False,True,-533.5331604198516,2348,1.5521913599775727,2348,0.01326629702227273,3327.128164272816
23,FineTune,Base (100%),10.0,5.0,False,False,True,-619.1566163384445,3548,1.3143297555848752,3454,0.008620673756892844,3045.924860047302
24,FineTune,Base (100%),10.0,5.0,False,False,True,-512.3271020014816,2960,1.6048525354201242,2467,0.01201466487264081,3541.234979213842
25,FineTune,Base (100%),10.0,5.0,False,False,True,-530.9271831652583,2398,1.4458266285845156,2398,0.015023188007177314,1779.767307399417
26,FineTune,Base (100%),10.0,5.0,True,False,False,863.7503745197731,3266,1.252295265801397,3266,0.009027940388484992,1491.5090605231912
27,FineTune,Base (100%),10.0,5.0,True,False,False,909.298639856005,3078,1.234650057400554,3078,0.010257970470252136,1499.5485147211177
28,FineTune,Base (100%),10.0,5.0,True,False,False,920.6035900117737,3677,1.3716333689999005,3615,0.009823307565380843,1482.6044479949817
29,FineTune,Base (100%),10.0,5.0,True,False,False,948.7875936863024,2521,1.4164131725347133,2521,0.014002176402990667,557.7397191555947
30,FineTune,Base (100%),10.0,5.0,True,False,False,869.46978555508,3040,1.1700374935129814,3040,0.00952035699067932,1486.1660178755005
31,FineTune,Base (100%),10.0,5.0,False,False,True,-605.474952966854,2773,1.424475310591183,2773,0.01019296691960032,2781.41357050537
32,FineTune,Base (100%),10.0,5.0,True,False,False,959.5138119813118,2483,1.4601644128848488,1875,0.013828543061764864,1490.1364095649537
33,FineTune,Base (100%),10.0,5.0,False,False,False,-253.9143121635533,3999,1.3385385362927873,3349,0.0068506027497667555,12208.855697540645
