model,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,episode,config,r_horiz_km,r_vert_km
Heuristic,0,0,0,-136.8,3999,1.696,1947,0.00317,0,Base (100%),10.0,5.0
Heuristic,0,0,0,-301.26,3999,1.299,2302,0.0023,1,Base (100%),10.0,5.0
Heuristic,1,0,0,1027.13,1547,1.212,800,0.02261,2,Base (100%),10.0,5.0
Heuristic,0,0,0,-133.48,3999,1.839,1170,0.00697,3,Base (100%),10.0,5.0
Heuristic,0,0,0,-199.24,3999,1.905,716,0.00628,4,Base (100%),10.0,5.0
Heuristic,1,0,0,1009.48,1857,1.111,789,0.01981,5,Base (100%),10.0,5.0
Heuristic,0,1,0,-518.87,2231,1.0,1601,0.01111,6,Base (100%),10.0,5.0
Heuristic,0,1,0,-501.02,325,0.997,325,0.02153,7,Base (100%),10.0,5.0
Heuristic,1,0,0,1009.74,1435,1.035,1196,0.0208,8,Base (100%),10.0,5.0
Heuristic,0,0,0,-204.61,3999,1.35,1172,0.00489,9,Base (100%),10.0,5.0
Heuristic,0,0,1,-570.39,2521,1.363,961,0.01061,10,Base (100%),10.0,5.0
Heuristic,1,0,0,995.66,2713,1.046,911,0.01303,11,Base (100%),10.0,5.0
Heuristic,0,1,0,-485.52,678,0.997,535,0.0246,12,Base (100%),10.0,5.0
Heuristic,1,0,0,987.15,2518,1.086,1000,0.01315,13,Base (100%),10.0,5.0
Heuristic,0,1,0,-482.94,464,0.993,379,0.02725,14,Base (100%),10.0,5.0
Heuristic,1,0,0,1012.97,2898,1.054,1192,0.01231,15,Base (100%),10.0,5.0
Heuristic,0,1,0,-506.05,423,0.998,423,0.02066,16,Base (100%),10.0,5.0
Heuristic,0,0,0,-63.01,3999,1.428,1047,0.00951,17,Base (100%),10.0,5.0
Heuristic,0,0,0,-84.69,3999,1.305,1625,0.00697,18,Base (100%),10.0,5.0
Heuristic,0,0,1,-544.67,1996,1.259,1009,0.01479,19,Base (100%),10.0,5.0
Heuristic,0,0,0,-184.28,3999,1.22,1215,0.00496,20,Base (100%),10.0,5.0
Heuristic,0,0,0,-136.42,3999,1.033,1848,0.00603,21,Base (100%),10.0,5.0
Heuristic,0,0,0,-159.45,3999,1.221,1302,0.0069,22,Base (100%),10.0,5.0
Heuristic,0,0,0,-122.2,3999,1.012,1441,0.00617,23,Base (100%),10.0,5.0
