episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
0,Scratch,Base (100%),10.0,5.0,False,True,False,-537.3222415449098,1281,0.9998269308303335,1281,0.006064990285285285,23185.475539096537
1,Scratch,Base (100%),10.0,5.0,False,True,False,-522.7088945761197,1544,0.9994637101632853,1544,0.00593097333377198,22136.231855539718
2,Scratch,Base (100%),10.0,5.0,False,True,False,-521.2880874307979,1111,0.9996778502272745,1111,0.006273696830866519,29485.580052042904
3,Scratch,Base (100%),10.0,5.0,False,False,True,-544.1053408660573,2332,1.391445090834698,2332,0.0034700573347824573,27469.004987511693
4,Scratch,Base (100%),10.0,5.0,False,False,True,-578.6003070065299,1854,4.482291304984598,0,-0.001430793002343217,40250.693032955045
5,Scratch,Base (100%),10.0,5.0,False,True,False,-518.7271568634451,945,0.9997729250452131,945,0.006590627574255817,31572.769434225796
6,Scratch,Base (100%),10.0,5.0,False,True,False,-525.0590583233501,1594,0.9996902667351345,1594,0.005970190876071816,22039.400733427774
7,Scratch,Base (100%),10.0,5.0,False,True,False,-530.2736586152722,943,0.9999689193865584,943,0.00592646738592368,27683.514721464195
8,Scratch,Base (100%),10.0,5.0,False,True,False,-522.6349785554013,1244,0.999990556761449,1244,0.006015170892347149,23828.900506660368
9,Scratch,Base (100%),10.0,5.0,False,True,False,-525.6641410766189,1111,0.9992198889083124,1111,0.006078871807103328,27633.30010248831
10,Scratch,Base (100%),10.0,5.0,False,True,False,-514.5557078346096,1260,0.9986386802597264,1260,0.006395473036247026,30282.747353030387
11,Scratch,Base (100%),10.0,5.0,False,True,False,-516.0599504152802,816,0.9997725693919095,816,0.006945346420606044,31173.873847255592
12,Scratch,Base (100%),10.0,5.0,False,False,True,-581.123597166075,2046,4.158210078096178,0,-0.0011301961252186547,40199.457639921355
