episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
0,332,-489.3821115452965,0,0,1,2.9279040325815715,222,32149.36830492059,0.009038821529412839
1,423,-500.0907634444406,0,1,0,0.9961337685294173,423,31634.55617526443,0.01529526547536874
2,542,-503.35846880600013,0,0,1,1.008256764201243,542,32491.32755335918,0.013186758672534974
3,586,-488.9591637888732,0,0,1,1.3345637195208142,515,26506.446059235426,0.01444702315656068
4,431,-505.53474509663266,0,1,0,0.9997299310017249,431,30853.693299446044,0.013241591143619193
5,548,-489.29062473365275,0,0,1,1.3244103044351658,498,25636.847207039522,0.015081496973861507
6,322,-489.4777188023236,0,0,1,2.2943916085150193,310,28157.089295820246,0.012643745187826887
7,358,-505.1028337158318,0,1,0,0.9970070301442634,358,26425.788280444103,0.012059736209571388
8,316,-502.8187033016879,0,1,0,0.9991588362069294,316,28355.807538456247,0.014701781312715484
9,449,-499.1882211783891,0,1,0,0.997603299569763,449,30166.370437707385,0.014392280009968011
10,601,-489.87175996643873,0,1,0,0.9972927738300107,601,23505.653928133415,0.015095339907458007
11,381,-492.6468944990531,0,0,1,1.7724662728199092,381,25934.697736491806,0.012592186506486032
12,565,-500.93415010798253,0,0,1,1.3638367924741794,565,25247.77673017022,0.012763008556762715
13,303,-487.97188527880496,0,0,1,2.710000078704497,211,35243.627008439114,0.012745118713705667
14,368,-502.688976888534,0,0,1,1.1847588763984398,368,25966.290371587773,0.011990306326454358
15,284,-497.3334076943226,0,0,1,1.532156532975453,284,33598.41960824523,0.012954185474296562
16,419,-507.1636772813588,0,1,0,0.9996437543201577,419,25385.999854670215,0.012750683536889932
17,327,-501.0075337743242,0,0,1,1.288288440041914,327,33611.333310363305,0.012341500005427601
18,401,-488.6200325357771,0,0,1,2.072617313760776,330,29230.26093269701,0.0139557366230907
19,426,-506.08839386479775,0,1,0,0.9972536208060834,426,28130.81938925816,0.012781094113410966
20,401,-500.1077873437761,0,0,1,1.1246272189699078,401,28678.966474745153,0.013810911770440939
21,369,-505.19260012954413,0,1,0,0.9988146629250856,369,28396.360903185534,0.014112865109690498
22,814,-502.672761492176,0,1,0,0.9966038867380208,814,28396.81161569643,0.011583028733111378
23,1845,-577.123226835653,0,1,0,0.9969166555159714,1845,16291.796405633406,0.008131460802528318
