episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
0,322,-495.67319666635507,0,0,1,2.233592181376515,322,34192.812924366044,0.00836744458556723
1,296,-492.86109447946734,0,0,1,2.4027488754079287,296,28212.43146235294,0.009584669542743373
2,337,-489.0046490358361,0,0,1,3.826405181179934,60,35175.896782218886,0.008594691578734616
3,302,-492.2940566232119,0,0,1,2.819097238576493,293,34560.76633830954,0.007850434420016839
4,309,-496.8536784506057,0,0,1,2.1696706158880263,309,30618.23198813674,0.008286014710392982
5,331,-490.6937053773954,0,0,1,3.3925728111253735,169,35337.1558818944,0.008087946181943423
6,331,-501.1451141728373,0,0,1,1.4572009497419267,331,27261.311255953904,0.010291544874347537
7,311,-496.41735311921974,0,0,1,2.3622277636125855,311,36419.69738367087,0.0077682113969125425
8,323,-495.04647428247745,0,0,1,2.117305969662178,323,28617.852910535614,0.009613778196827667
9,350,-490.668790094099,0,0,1,2.3456370977507435,350,28465.24905866212,0.009935142611191137
10,336,-489.54899331386935,0,0,1,3.870834413299023,43,35430.12563362927,0.00893786360531491
11,326,-503.9493195830609,0,0,1,1.3134524941654175,326,27238.00229894431,0.009582604531483756
12,336,-490.57903724085946,0,0,1,3.833061443614257,67,35002.283148022834,0.008447763305161457
13,317,-489.87351655124365,0,0,1,3.527685467952499,128,34034.45998661045,0.008309184120125853
14,339,-495.2347618481371,0,0,1,2.0509510011069274,339,33448.64811934737,0.009387889242146234
15,317,-490.421754564926,0,0,1,2.7060984784626148,287,30469.800743801556,0.009346194113937103
16,313,-504.3703167841455,0,0,1,1.4073598535203475,313,32222.790963836334,0.009175707829760982
17,322,-490.4697491822719,0,0,1,3.2832948837792952,185,35866.49430451726,0.008194324835868506
18,317,-504.44588096236015,0,0,1,1.46320842940577,317,33551.82103030001,0.00859001154817979
19,321,-496.657826712351,0,0,1,1.9726666192794853,321,36721.62815537498,0.009089003559719368
20,293,-502.28798404525946,0,0,1,1.6527742231415814,293,29961.59030719858,0.008905023338549402
21,304,-496.8406859442447,0,0,1,2.0290252670565416,304,30955.9111384972,0.009073135380103228
22,303,-492.505360394174,0,0,1,2.7586010211645267,303,35510.88482800501,0.007749606175712754
23,301,-496.3735215481599,0,0,1,1.9188896643194513,301,27457.417577020267,0.009537049577275433
24,319,-489.7766807420342,0,0,1,3.2558516200682988,179,35115.99073259951,0.008833172083545166
25,320,-501.68048444226093,0,0,1,1.6039302746668374,320,29599.450076031677,0.008942084519145596
26,305,-495.05843141946167,0,0,1,2.179126772819175,305,30076.655445855657,0.008175046876780683
27,316,-492.02665521784394,0,0,1,2.4914375504827526,316,30858.689622391055,0.008731528035135789
28,287,-500.96755454745596,0,0,1,1.747606707766918,287,27545.264150216088,0.008890261799881394
29,334,-494.23056489879065,0,0,1,2.295623091555348,334,34577.996148371065,0.008934408406769997
30,316,-505.6768699971548,0,0,1,1.2885119757711776,316,28791.243155773795,0.009350483231575297
31,309,-491.41011298404175,0,0,1,3.179583653519231,201,34134.6015856486,0.008331124555844269
32,342,-496.45063444502125,0,0,1,2.017059641634475,342,31236.772670902457,0.009608721656799758
33,322,-491.8371968269136,0,0,1,2.440058161214689,322,30580.255589740842,0.008632337158628343
34,305,-506.35401813290315,0,0,1,1.3086023210650055,305,28530.76547298188,0.009139767030110673
35,297,-506.5729154782803,0,0,1,1.3553383300655135,297,31829.51049866668,0.008369866860183128
36,329,-504.8106003650886,0,0,1,1.4637460737896084,329,33372.406890340106,0.008334224219561545
37,328,-493.6968512876455,0,0,1,2.315531781731322,328,32806.74103970271,0.008702857498663964
38,294,-491.0562591348785,0,0,1,3.0556076379396777,235,32836.08462674285,0.007773352749152935
39,304,-491.2015626695606,0,0,1,2.9436199756623056,236,31327.19347251248,0.009113268806968673
40,306,-499.6104728497544,0,0,1,1.7135981766894277,306,32039.02769441121,0.008808918785907793
41,307,-492.2867372355683,0,0,1,3.2817253887826037,196,37091.49378488013,0.007458838554379194
42,374,-492.9719253041114,0,0,1,2.3890084303916934,374,29961.14832308296,0.009264024698714762
