episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
0,350,-501.5768207145152,0,0,1,1.3252972674417989,350,31582.862260891587,0.013568379938600179
1,309,-493.02235193440833,0,0,1,2.0869308126498214,309,26967.122229455163,0.011395145877945843
2,298,-506.49129032183833,0,1,0,0.9989823806303693,298,27765.49871652834,0.011374037507843018
3,390,-492.9848441784479,0,0,1,1.8719352955609243,390,29210.2060730128,0.01343268606290357
4,415,-502.97024062678094,0,1,0,0.9992836574575173,415,26966.71686459441,0.014383880314194885
5,408,-501.6475804456643,0,1,0,0.9987009404997845,408,26291.73960866279,0.014776179185412509
6,995,-532.9179183261042,0,0,1,1.5450016168697136,938,26839.38435700549,0.006794889666793322
7,827,-512.3790561977142,0,0,1,1.786336036916979,747,28473.75613861903,0.010652865532548248
8,1034,-484.3587579691494,0,1,0,0.9989620345646225,792,25254.71109320852,0.012877276378047918
9,550,-478.9232461970469,0,0,1,2.50151179253384,269,31576.021177665934,0.012772899740288201
10,506,-508.10819605257785,0,0,1,1.0001786164605873,506,31193.31937292274,0.011581688101243964
11,513,-484.9091219859443,0,0,1,2.843172946727185,263,31846.444038009522,0.011586133593978656
12,537,-482.50311194322643,0,0,1,2.3688188060199957,330,30355.13965499991,0.01205031778558871
13,549,-525.3214775269664,0,0,1,1.1284924150304767,549,30740.03347543175,0.009876894909442987
14,676,-496.08538412609045,0,0,1,1.2004782973885086,619,23950.062975218363,0.013671216460700537
15,757,-525.7187769232081,0,0,1,1.2545790152269558,757,25146.016633316794,0.0073901630887800275
16,562,-506.8490860878243,0,1,0,0.9993116079353233,562,26606.51064838715,0.010958794887815327
17,3999,-22.662098985311776,0,0,0,2.041304104900508,2628,19327.391290825122,0.00439708927685728
18,1259,-555.5041880271942,0,0,1,2.174653600334741,1259,35974.75024269045,-0.0018316478341224149
19,1704,-549.4796397390431,0,0,1,3.027857259134348,1495,37136.047198178334,-0.0009663413837760864
20,293,-503.2730580786596,0,0,1,3.045163188061717,293,31793.99635434208,0.0020410953074036656
21,770,-514.489631299129,0,0,1,4.396278107403004,0,38320.19634498799,0.0004066378155621742
22,250,-508.43955395928356,0,0,1,3.7199360915220825,217,36391.60298341888,-0.0014083806172617472
23,271,-517.8734660632618,0,0,1,1.7704740007158881,271,32856.713464804736,-0.0012816850076853316
24,312,-490.68970229030606,0,0,1,3.041617286366037,231,36595.02708671903,0.008315968436232224
25,273,-508.6018449241765,0,0,1,1.6777238885222676,273,32018.781975493053,0.005738650077394727
26,282,-498.5577780748195,0,0,1,2.659557516930694,282,34257.32596799612,0.005969007045885472
27,289,-495.05928492211126,0,0,1,2.791678294611261,289,34941.92989412364,0.00715667984514411
28,270,-504.96326798528185,0,0,1,2.113843266623814,270,29281.55311830715,0.004826727813392253
29,300,-491.45441296939487,0,0,1,3.2805523431128987,182,34004.39331964381,0.007961705029557585
30,635,-507.9574685298348,0,0,1,1.749227593219778,635,31981.44942758546,0.005196441079255353
31,267,-501.86765803350204,0,0,1,1.407690888504517,267,29787.73904079424,0.01096460349823589
32,264,-495.72225228166326,0,0,1,2.0574838449645148,264,28868.855149461255,0.008943752117540319
33,217,-503.06129822161097,0,0,1,2.6460341174320243,217,34764.95217650178,0.003366714794784831
34,242,-500.69871291039374,0,0,1,2.406133115642016,242,31850.95174811022,0.006737066260060695
35,228,-494.0036148192552,0,0,1,3.7313513178588456,96,33364.9579776034,0.005772054323929916
36,204,-498.4444823525343,0,0,1,2.912199436289924,204,34816.68701222665,0.006391963006766281
37,266,-506.8441600574694,0,0,1,1.5843684938130527,266,28557.045277217963,0.008434473452403082
38,282,-502.0843460827337,0,0,1,1.8040118337604307,282,28958.445171147378,0.00975305646323395
39,225,-499.0110619781757,0,0,1,2.605858040816036,225,32417.772982262617,0.006838430900589884
40,260,-490.01887680160337,0,0,1,3.100980517594224,130,32305.714535003513,0.012890191559316849
41,232,-497.16529968838285,0,0,1,1.893481559819801,232,29682.42238969433,0.01173842918140547
42,248,-494.2069302155915,0,0,1,2.0079183695935274,248,29683.184749132084,0.013760202360172743
43,251,-498.13312749406174,0,0,1,1.4804557501978517,251,26273.71541831238,0.014994681610087999
44,272,-496.3807929457859,0,0,1,1.643188868999284,272,29521.40206319874,0.013853191415481312
45,345,-498.9422646398576,0,0,1,1.223245902346515,345,24737.572809981022,0.0157869064633983
46,565,-501.64775371571045,0,0,1,4.096925024362561,0,37032.28179587627,0.004056637577233292
47,892,-495.4975716463828,0,0,1,1.3631331389566093,770,25256.365498480453,0.01024726824588045
48,2175,-555.8038070672947,0,0,1,2.3993138605663162,2175,26582.584938604996,0.002322973539403271
49,1457,-564.3226003846381,0,0,1,2.783949908656636,1190,41723.52516956565,-0.0015539122819042317
50,1854,-599.5001238207607,0,0,1,2.1572734747292275,1854,33983.02552719361,-7.885859557421349e-05
51,2233,-560.7838934778061,0,0,1,2.5668372813389917,2177,31549.881326035073,0.0011194924509624696
52,2261,-550.9505856805397,0,0,1,2.308553269128311,2198,27049.347656112262,0.002578912523089281
53,2249,-573.8015913339458,0,0,1,1.9716841533492597,2249,28347.030795816285,0.003138414262599331
54,1410,-516.8693049855196,0,0,1,1.57120361677669,1382,25251.00086022016,0.005388392436251631
55,696,-515.3390539902413,0,0,1,1.6450472002069287,696,30414.529770542056,0.005133001305204575
56,1350,-558.3392868537101,0,0,1,1.1472870641531467,1350,29247.99836470604,0.004839959781769939
57,1318,-520.3435346668593,0,0,1,1.8479633086199665,1318,26152.93941112479,0.004648630641981806
58,1315,-563.5653014014847,0,0,1,1.6916038796585053,1315,25135.36710255294,0.00371735312023511
59,1833,-509.0183354653904,0,0,1,2.3495996664640706,1564,27983.944283059864,0.0049159634229960164
60,2027,-581.1425630677298,0,0,1,1.9536073512048289,1806,27379.532977166757,0.003774711333940454
61,2353,-666.1253995711521,0,0,1,1.3318109403727716,2353,29357.81694171629,0.0010514275518134807
62,1032,-524.6631358378456,0,1,0,0.9998478236316278,1032,25356.50179014181,0.007279482763298156
63,808,-522.666913751613,0,1,0,0.9996779269504145,808,28093.933003080656,0.007070592474081663
64,2440,-643.8897155307549,0,1,0,0.9992359081163733,2440,26108.55982049173,0.0035001808470932518
65,2257,-602.7818549995384,0,1,0,0.9987734817875701,2257,28811.264012955045,0.004642448489141486
66,2329,-539.1518749495815,0,0,1,2.621882936552335,2124,28434.59437326127,0.003895447308923011
