episode,steps,score,success,killed_by_sam,crashed,min_tf,in_radar_steps,range2d_last_m,progress_mean
0,493,-486.396185527968,0,0,1,2.1203184084827784,415,32793.252095120544,0.011007170027442894
1,441,-497.95111054831,0,0,1,1.1513162576134088,441,28908.208841321015,0.013560519465165224
2,400,-500.4821303955706,0,1,0,0.9984952689502855,400,27345.871052123857,0.01417256684592431
3,534,-491.02757203279657,0,0,1,1.181549442312958,464,26842.019628639267,0.017047861117024988
4,286,-492.988657973458,0,0,1,2.0483132480836863,286,27883.94426954501,0.012480352243857466
5,396,-503.4768043860266,0,1,0,0.9980928469320534,396,31101.579667674105,0.013320185107560781
6,331,-502.73595433595364,0,0,1,1.1182718546044,331,29169.752700671634,0.012788666121567566
7,290,-490.63565588012904,0,0,1,2.1894766745642182,290,31772.698859337874,0.012873741597204462
8,368,-501.9544372038982,0,1,0,0.9971736615133884,368,25141.05383328017,0.014278275935561198
9,389,-503.6433041523168,0,0,1,1.0883084710304876,389,25643.296884395782,0.012401151517932788
10,361,-492.7678250243446,0,0,1,1.653440132678,361,33486.575041252385,0.014560957331017452
11,417,-485.8166186899138,0,0,1,1.9369735095802594,356,28006.0399597664,0.014161538500485219
12,258,-504.27568296306873,0,1,0,0.9967328356972257,258,26936.156507534513,0.013737918017257402
13,455,-499.7271755855894,0,1,0,0.9974467226001348,455,29896.20818792611,0.01671825201170958
14,442,-505.07500513156026,0,1,0,0.9989688727310218,442,26684.98026573388,0.012956735566687248
15,431,-500.91058985805176,0,1,0,0.9996028791541659,431,29052.299990894848,0.014262882709847805
16,3346,-583.3502392118819,0,0,1,1.411228094310432,2105,24761.971288133005,0.0032979654052616575
17,1695,-533.4641001791342,0,0,1,1.1561496435275955,1633,28848.43989835022,0.005331467484409176
18,393,-496.35966157109607,0,0,1,2.1938119470050603,393,30185.996069539564,0.006970461569854037
19,1549,-521.2447509184233,0,0,1,3.4866787092372706,1200,38368.88351201574,0.0004648159781447594
20,1919,-531.9906253223628,0,0,1,2.519088711889411,1919,28449.709039858975,0.0017762081073879013
21,1800,-594.2633306430523,0,1,0,0.999318418623524,1800,27406.48470809515,0.003145051921861243
22,1676,-609.3640620517664,0,0,1,1.2259018203352907,1676,28592.198429326145,0.0020823735281032185
23,789,-535.251149227412,0,0,1,3.1616048386872535,789,34197.943775724656,-0.0009315189538639068
24,1250,-511.69535577350763,0,0,1,2.3635597742914074,1132,34354.49677340662,0.00388580302334054
25,950,-555.5285666787229,0,0,1,1.9298033988520462,950,36402.65326685222,0.0012336692273655458
26,312,-499.33743990242357,0,0,1,1.9979541195160722,312,36996.3469138538,0.008824041301757178
27,313,-493.990740225993,0,0,1,2.144549002961335,313,30186.23697473338,0.01044263515720651
28,638,-517.567665175313,0,0,1,2.417845668192015,638,37140.56243383915,0.002810015155097267
29,457,-517.7011406104699,0,0,1,2.899665291300679,457,33495.107587877064,-0.0012572932586988074
30,710,-522.6667911083298,0,0,1,2.390718022007248,710,36776.287320029376,0.0038053294226072704
31,306,-507.1742827705367,0,0,1,1.454348692568544,306,29146.0328691452,0.007708736365026895
32,369,-495.0610822292535,0,0,1,1.9902671501084201,369,29708.0283798675,0.009179986089024709
33,696,-552.5267662775092,0,0,1,1.148478281210068,696,27778.651298413963,0.005463428770527355
34,436,-511.1321471272943,0,1,0,0.999533703952211,436,31224.353221291,0.011560942571459482
35,293,-490.53954108293186,0,0,1,2.8399331099043397,241,31636.78597129155,0.009592213903593773
36,303,-495.03516330799954,0,0,1,3.2307054659913828,212,33001.7407759675,0.006527107988617305
37,317,-491.0142746648297,0,0,1,2.9658588256258653,216,33695.566266788985,0.009657047783441062
38,307,-491.61508704059656,0,0,1,3.6676945226302413,95,36905.62016411337,0.008306139705049245
39,282,-493.5795465880945,0,0,1,3.141465305719569,194,36919.27053844259,0.008370182891323422
40,539,-503.5537698420547,0,1,0,0.997676902869951,539,28733.365159307392,0.013380733582413635
41,757,-506.73737705627207,0,1,0,0.9998207759657799,757,27015.212419151594,0.012171693228020291
42,675,-503.80127223867214,0,1,0,0.9980720385986395,675,26849.01522565581,0.012732021484086484
43,758,-507.109562045981,0,1,0,0.9990407205089237,758,23750.22079932251,0.011771268401773713
44,388,-509.1599329325921,0,1,0,0.998955979295788,388,25819.72165051134,0.011984131443781272
45,1329,-519.0209038523619,0,1,0,0.9992592588902713,1169,27285.4222745015,0.008449394381955326
46,531,-527.3972003375952,0,1,0,0.9994161584841446,531,28473.473983793603,0.007826450694092948
47,2065,-606.264931705499,0,0,1,1.2918955796545788,1989,26562.006141920443,0.0043405695877612675
48,880,-507.1828296120589,0,1,0,0.9994787636945784,880,30186.47117116551,0.009361255993323386
49,821,-500.3908984131472,0,1,0,0.998342719411021,821,24407.270304156806,0.011224091241545907
50,1129,-503.3218089391064,0,1,0,0.9989676390969163,1049,24257.699154681086,0.009627194750685509
51,679,-505.56427087434554,0,1,0,0.9998381544264818,679,23518.71150844531,0.011256762993970961
52,538,-507.6784503257518,0,1,0,0.9976571539276969,538,26078.10901809869,0.012167093315477533
53,596,-507.4629408543959,0,1,0,0.9994119910562583,596,30507.532674332346,0.011772765429744689
54,762,-503.4110033779255,0,1,0,0.9988714894282766,762,29596.190060705165,0.011815342225911709
55,357,-513.1182924512834,0,0,1,1.7119339538830927,357,29733.480150213905,0.004992693954631737
56,522,-506.571347397625,0,1,0,0.9980195101992249,522,30658.727208565644,0.0126555429116487
57,511,-506.98267361504674,0,1,0,0.9990432039550539,511,29674.42411698836,0.012793736014011185
58,726,-502.22007410006205,0,1,0,0.9989434725151141,726,24567.93871617227,0.012604064298485344
59,520,-501.9301498521353,0,1,0,0.9987720917869566,520,26551.38835538239,0.01415644248100796
60,391,-505.14411503305934,0,1,0,0.9979433056828568,391,27973.437591956605,0.013686140905290314
61,623,-493.97759031548253,0,1,0,0.9997829375416988,623,30493.66169177077,0.014269879454886204
62,333,-504.65484772132453,0,1,0,0.9988952570232705,333,29195.658537999814,0.013588117089013065
63,483,-503.4475172090656,0,1,0,0.9987909724859843,483,25306.40735708144,0.014516029508210323
64,654,-503.1928527774452,0,1,0,0.9984964798516183,599,29537.2663444361,0.015552363283460999
65,645,-510.1824593214616,0,1,0,0.999100235350626,645,25380.73383989097,0.011211730654715077
66,376,-508.8564744012056,0,1,0,0.9985284207572627,376,26051.99421161022,0.0120477992016419
67,490,-513.389615552931,0,1,0,0.9980007310294284,490,26616.76859167509,0.012569045665298671
